sp,en
je,is
est,East
pas,not
le,the
que,what
la,the
vous,YOU
tu,that
un,and
c',c'
à,has
et,And
il,The
a,a
l',l'
ne,it is
les,THE
j',j'
en,in
on,on
ça,That
une,a
d',d'
ce,This
qu',that
pour,For
ai,eat
n',n'
des,of the
qui,Who
mais,more
dans,In
nous,We
elle,She
me,me
bien,GOOD
si,and
du,of
y,and
suis,am
non,non
t',t'
avec,with
tout,All
plus,plus
mon,My
m',m'
te,the
au,At
fait,do
moi,moi
s',s'
oui,Yes
va,and
était,was
as,as
faire,TO DO
ils,they
sur,on
quoi,What
se,with
comme,as
sais,know
être,be
veux,want
ici,here
ma,and
toi,You
est-ce,is this
dit,it
lui,his
votre,your
es,is
pourquoi,Why
où,Or
là,To be
rien,Nothing
cette,this
sont,are
quand,When
peux,can
dire,say
son,son
avez,have
vais,go
alors,SO
ton,ton
comment,comment
par,for
ou,or
chose,chose
bon,good
ont,have
merci,THANKS
juste,just
très,very
jamais,Never
été,summer
aussi,Also
avoir,to have
vraiment,Really
voir,see
même,even
sa,on
oh,oh
maintenant,NOW
tous,all
peut,can
deux,two
ces,these
êtes,are
allez,Go on
ta,facing
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,always
encore,Again
notre,OUR
mes,we
besoin,need
avait,had
accord,accord
faut,must
dois,two
vie,life
peut-être,maybe
aller,go
fois,times
vu,from
donc,SO
sans,without
monde,world
étais,was
parce,because
avant,Before
sûr,on
trop,too much
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois,believe
après,After
aux,to
dieu,God
ouais,Yeah
ses,his
pense,think
eu,eu
aime,love
leur,their
homme,man
viens,one
vrai,TRUE
femme,women
ok,ok
doit,must
veut,wanna
ans,years
m.,m.
mal,just
chez,at the house of
déjà,Already
depuis,Since
beaucoup,a lot
vos,your
bonne,Good
mort,dead
mieux,better
vas,your
mère,mother
sera,will be
dis,dis
fille,girl
tes,hand
gens,people
quel,that
vois,see 
désolé,Sorry
ca,that
voilà,There
avons,have
petit,little
maison,House
soit,either
cela,that
autres,others
toute,all
soir,evening
passé,pass
prendre,take
jour,day
monsieur,Sir
nos,us
savoir,know
choses,things
salut,hello
cet,this
nom,name
argent,money
bonjour,Good morning
nuit,night
raison,reason
moins,less
arrive,arrive
maman,Mom
reste,stay
moment,moment
voulais,wanted
seul,alone
aider,help
air,air
entre,between
papa,table
passe,pass
aurais,would have
problème,issue
ah,ah
peur,fear
regarde,look at
voulez,want
gars,guys
trouvé,find
fils,son
attends,attends
savez,know
jusqu',until
trouver,find
trois,three
assez,enough
famille,family
dû,of
eh,eh
toutes,all
plaît,please
pourrait,could
travail,work
pris,price
pu,could
tête,head
quelle,those
sait,knows
sommes,are
appelle,calls
quelques,a few
faites,do
partir,leave
vite,quickly
arrête,stop
seule,alone
serait,would be
voiture,car
enfants,children
tuer,kill
merde,shit
hé,heh
pendant,during
idée,idea
chance,chance
parle,speak
aurait,would have
part,part
elles,they
jours,days
grand,grand
aujourd'hui,Today
venir,come
ami,which
demain,tomorrow
hein,hein
tard,late
puis,Then
truc,thing
passer,fits
petite,small
tant,so much
connais,know
combien,How much
mec,mec
sens,sense
pouvez,can
porte,door
sortir,to go out
super,super
heure,hour
contre,against
coup,coup
comprends,understand
entendu,heard
vient,come
allons,let's go
ensemble,ensemble
nouveau,new
amour,love
importe,imported
sang,sang
désolée,Sorry
cas,cas
sous,below
rester,stay
amis,friends
prends,take
fini,ends
hommes,men
tué,killed
question,question
partie,part
histoire,history
devrais,should
aide,aide
dernière,last
demande,request
chercher,seek
pensais,thought
genre,genre
seulement,only
police,police
car,car
mois,month
frère,brother
laisser,to leave 
aucun,none
mettre,put
eux,them
laisse,leave alone
chaque,each
ville,would
arrivé,arrived
devrait,should
parlé,speak
avez-vous,do you have
vont,are going
longtemps,a long time
aucune,none
heures,hours
bébé,baby
place,place
revoir,goodbye
putain,damn
compris,Understood
ni,in
savais,knew
leurs,their
étaient,were
attention,attention
donner,give
affaire,affair
endroit,place
pourrais,could
corps,corps
façon,way
donné,given
est-il,is he
voici,here is
train,train
dont,of which
écoute,listen
yeux,eyes
trouve,find
pouvoir,power
type,type
perdu,lost
premier,premier
première,first
côté,side
point,point
tellement,such
main,main
tiens,hold
sois,be
enfant,child
vieux,old
matin,Morning
venu,came
pardon,pardon
là-bas,la-bas
suite,suite
vers,towards
minutes,minutes
demandé,request
venez,come
devant,in front
dr,dr
enfin,Finally
arrêter,Stop
cause,cause
nouvelle,new
attendez,wait
chambre,bedroom
droit,right
parti,party
mis,what
eau,water
compte,account
dirait,would say
terre,earth
belle,belle
espère,hope
aimerais,would like
loin,far
as-tu,do you have
mari,increase
donne,women
fin,END
croire,believe
mme,mother
aura,aura
gros,fat
boulot,job
plutôt,instead
chérie,Dear
prêt,ready
filles,girls
bureau,bureau
mourir,die
hier,here
possible,possible
jouer,play
demander,ask
celui,the one
voulait,wanted
beau,beau
jeune,young
euh,uh
dehors,out
docteur,doctor
a-t-il,did he
confiance,trust
appeler,to call
années,years
vérité,truth
école,school
chef,chef
femmes,women
propos,about
semaine,week
vivre,live
regardez,look
feu,fire
journée,daytime
madame,madame
hey,hey
téléphone,phone
près,close
affaires,business
meilleur,best
devez,must
dessus,above
mains,mains
penses,think
prie,to
équipe,team
vas-y,you go-y
grande,big
manger,eat
arriver,arrive
dur,dur
guerre,war
ait,belonging to
appelé,called
marche,walk
sécurité,security
garçon,boy
essaie,try
important,important
dites,say
exactement,Exactly
font,font
fort,fort
presque,almost
plein,full
derrière,behind
ben,ben
mariage,marriage
parents,parents
capitaine,captain
dernier,last
fou,new
ceux,those
tomber,to fall
attendre,to wait for
vue,view
pensé,think
souviens,remember
envie,envy
fête,party
jeu,game
génial,awesome
pays,pays
garde,garde
cours,course
bientôt,Soon
ii,ii
numéro,number
personnes,people
cinq,five
parfait,Perfect
excusez-moi,excuse me
laissé,leave alone
ainsi,Thus
retour,back
semble,seems
autant,as much
peine,penalty
minute,minute
essayé,try
plan,plan
instant,instant
serai,lemongrass
prison,prison
penser,think
essayer,to try
prend,takes
arme,armed
mauvais,bad
mot,against
travailler,to work
quatre,four
rentrer,to return
regarder,look
choix,choice
êtes-vous,are you
parfois,Sometimes
film,film
abord,on board
voyez,see
faute,mistake
facile,easy
croyais,believed
bas,down
changer,changer
entendre,hear
plaisir,pleasure
heureux,happy
entrer,enter
voudrais,would like
es-tu,are you
propre,own
étiez,were
tour,tour
fera,will do
ensuite,Next
garder,keep
agent,agent
allait,was going
lit,lit
travaille,work
adore,adore
amie,friend
rendre,give back
allons-y,let's go
route,route
lieu,place
année,year
voit,you can
commence,commence
service,service
devoir,duty
attend,attend
drôle,funny
difficile,difficult
sûre,safe
pire,worse 
pos,pos
peuvent,can
sujet,subject
état,state
ceci,this
impossible,impossible
sorte,sort
perdre,lose
dollars,dollars
voulu,wanted
morte,death
ira,ira
faisait,did
bizarre,bizarre
oublié,forget
arrêtez,stop
ferai,will do
serais,would be
tôt,early
inquiète,worry
payer,payer
coeur,heart
dès,of the
pouvais,could
reviens,come back
chien,dog
suffit,enough
prenez,take
pensez,think
café,café
calme,calm
cherche,look for
montrer,to show
parles,speak
photo,photo
ferme,farm
problèmes,problems
the,the
cœur,heart
sûrement,certainly
verre,glass
aimes,love
devons,must
veulent,want
doute,doubt
musique,music
courant,fluent
sauf,except
moyen,AVERAGE
nouvelles,news
puis-je,can I
avis,notice
sauver,save
hôpital,hospital
questions,questions
meurtre,murder
sérieux,serious
seconde,second
trucs,stuff
comprendre,to understand
allais,were going
esprit,spirit
cool,cool
mlle,Miss
marché,walk
fous,crazy
laisse-moi,leave me
haut,high
salle,room
malade,sick
changé,exchange
gentil,kind
allé,gone
six,six
simple,simple
john,john
semaines,weeks
celle,that
jack,jack
appris,learned
seigneur,lord
dîner,dinner
sors,source
commencé,begin
suppose,suppose
chemin,path
partout,everywhere
bras,bras
cul,cul
prochaine,next
visage,face
h,h
meilleure,best
face,face
soirée,evening
roi,roi
surtout,Above all
retard,retard
écrit,writing
livre,book
rapport,report
chéri,Dear
message,message
voulez-vous,do you want
vaut,worth
ferais,would do
morts,dead
boire,drink
soyez,be
président,president
plait,plait
bois,drink
sinon,Otherwise
erreur,error
new,new
ecoute,listen
mr,mr
rentre,go home
rendez-vous,appointment
devait,had to
revenir,to come back
joue,plays
pauvre,poor
devenir,become
s,s
rencontrer,meet
sort,sort
commencer,to start
pouvait,could
occupe,busy
entends,hear
souvent,often
pièce,piece
reçu,received
grave,grave
mets,mets
intérieur,interior
honneur,honor
dormir,sleep
an,an
faux,faux
messieurs,gentlemen
groupe,band
rêve,dream
carte,map 
aviez,had
appel,call
manque,lack
envoyé,sent
début,beginning
sam,alone
puisse,can
écoutez,listen
laissez-moi,leave me
bonsoir,Good evening
content,content
secret,secret
venue,venue
cher,Dear
dis-moi,Tell me
effet,effect
voyons,let's see
sac,sac
continue,continue
acheter,buy
voix,voice
certains,some
occuper,occupy
noël,Christmas
gagner,earn
grâce,grace
maître,master
prix,price
mauvaise,bad
général,general
âge,age
long,long
rue,Street
tirer,to pull
apprendre,learn
cheveux,hair
noir,noir
promis,promised
avaient,had
patron,patron
avocat,lawyer
force,force
accident,accident
dix,ten
probablement,probably
laissez,let
bout,bout
ordre,order
armes,weapons
cru,cru
déteste,hated
retrouver,find
millions,millions
incroyable,amazing
voyage,voyage
ailleurs,elsewhere
oublie,forget
ressemble,looks like
bienvenue,Welcome
disparu,disappeared
protéger,protect
utiliser,to use
situation,situation
petits,small
aurai,will have
veux-tu,do you want
connaissez,know
simplement,simply
scène,scene
sœur,sister
prête,ready
oncle,uncle
devriez,should
liste,list
soeur,sister
complètement,completely
dos,of the
armée,army
paix,peace
battre,beat
york,york
crime,crime
anniversaire,birthday
finir,finish
réussi,successful
agit,acts
i,i
retourner,return
sale,sale
libre,free
bouge,move
contrôle,control
rappelle,reminds
arrêté,arrested
hôtel,hotel
idiot,idiot
okay,okay
rencontré,encounter
restez,stay
absolument,absolutely
mots,words
victime,victim
impression,impression
décidé,decided
sympa,nice
pars,pars
fasse,do
avion,plane
bordel,brothel
habitude,habit
table,table
rouge,rouge
système,system
photos,photos
médecin,doctor
seras,will be
bateau,boat
stupide,stupid
faim,hunger
autour,around
fond,fond
surprise,surprise
croyez,believe
devais,had to
ligne,line
porter,porter
imagine,imagine
colère,anger
clair,clair
seront,will be
savait,knew
balle,ball
gagné,won
or,or
hors,out
magnifique,Magnificent
risque,risk
terminé,finished
su,are
heureuse,happy
mission,mission
jolie,jolie
parlez,speak
présent,here
sorti,released
cadeau,gift
expliquer,explain
volé,stolen
plusieurs,several
gauche,LEFT
ferait,would do
neuf,nine
passe-t-il,does it happen
ouvre,opens
disais,said
dedans,inside
disent,say
pouvons,can
allez-y,Go for it
suivre,follow
pourra,will be able to
inspecteur,inspector
réponse,answer
lumière,light
pieds,feet
pote,bring
montre,watch
pied,foot
marcher,to walk
charlie,charlie
auras,auras
envoyer,send
vraie,true
espèce,species
doivent,must
allô,Hello
pareil,The same
vas-tu,are you going
soleil,sun
camp,camp
fallait,had to
coin,coin
ignore,ignore
moitié,half
you,you
selon,according to
tenir,to have
grosse,fat
vouloir,to want
michael,michael
vieille,old
devenu,became
continuer,continue
rend,makes
sortie,exit
recherche,research
arrière,back
lire,read
doucement,gently
joli,pretty
avance,advance
exact,exact
disait,said
club,club
arrivée,arrival
tue,tue
laquelle,which
poser,to set down
chaud,hot
aimé,love
david,david
fais-tu,do you
tom,tom
professeur,teacher
quitter,to leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,to know
lettre,letter
forme,shape
connaît,knows
conseil,advice
bar,bar
normal,normal
danger,danger
dangereux,dangerous
folle,much
jure,jure
tiré,pulled
essaye,try
bonnes,good
offre,offer
but,but
froid,cold
allez-vous,are you going
prêts,loans
tranquille,calm
gamin,kid
joe,joe
classe,class
joué,plays
poste,afterwards
con,with
mike,mike
attaque,attack
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,standing
envoie,send
preuve,evidence
oublier,forget
bons,good
vivant,alive
ciel,sky
lu,him
touche,touch
aimer,to like
faites-vous,do you
télé,TV
met,of
écouter,listen
serez,will be
ll,ll
pourtant,Yet
change,change
triste,sad
droite,RIGHT
gueule,mouth
tombe,fall
sentir,to feel
ouvrir,open
travers,through
santé,health
dossier,case
ie,ie
jeunes,young people
frank,frank
coucher,to sleep
cuisine,cuisine
monte,monte
pouvez-vous,can you
